Stage,Strain no,Genotype,Treatment,Slide no,Name,Nucleus number,DAPIpeakA,DAPIvalleyB,DAPIoutC,FITCpeakA,FITCvalleyB,FITCoutC,DAPI_A-B,DAPI_A-C,DAPI_B-C,FITC_A-B,FITC_A-C,FITC_B-C
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,1,1718,498,66,432.8,232.7,125.3,1220,1652,432,200.1,307.5,107.4
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,2,2061,679,182,429.5,262.1,174,1382,1879,497,167.4,255.5,88.1
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,3,2101,419,193,488.5,301.6,264.1,1682,1908,226,186.9,224.4,37.5
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,4,1880,328,179,440.3,262.3,222.1,1552,1701,149,178,218.2,40.2
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,5,1881,482,158,445,272,267.4,1399,1723,324,173,177.6,4.6
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,6,2120,763,157,503.3,328,297.1,1357,1963,606,175.3,206.2,30.9
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,7,1829,830,124,509.8,261.4,158.3,999,1705,706,248.4,351.5,103.1
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,8,1761,616,146,550.6,306,264.7,1145,1615,470,244.6,285.9,41.3
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,9,2266,464,125,469.9,238.5,203.8,1802,2141,339,231.4,266.1,34.7
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,10,1902,534,120,522.2,279,249.2,1368,1782,414,243.2,273,29.8
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,11,2000,666,149,465.1,286.9,258,1334,1851,517,178.2,207.1,28.9
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,12,1935,649,197,469.9,295,311.6,1286,1738,452,174.9,158.3,-16.6
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,13,2119,356,173,441.1,282.2,235.1,1763,1946,183,158.9,206,47.1
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,14,1910,514,136,430,319.9,282.7,1396,1774,378,110.1,147.3,37.2
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,15,1406,552,163,451.1,302.4,266.1,854,1243,389,148.7,185,36.3
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,16,1445,551,99,390.3,207.2,127,894,1346,452,183.1,263.3,80.2
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,17,1751,781,133,508.8,289.9,261.4,970,1618,648,218.9,247.4,28.5
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,18,1886,609,73,483.2,227.5,121.2,1277,1813,536,255.7,362,106.3
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,19,1788,620,455,508.5,268.2,289.5,1168,1333,165,240.3,219,-21.3
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,20,1857,435,181,518.7,351.3,297.3,1422,1676,254,167.4,221.4,54
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,21,1826,494,145,484.4,288.8,233.4,1332,1681,349,195.6,251,55.4
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,22,2012,517,181,630,305.7,266.6,1495,1831,336,324.3,363.4,39.1
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,23,1664,315,113,450.8,295,135.8,1349,1551,202,155.8,315,159.2
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,24,1647,511,157,472,295.4,263.9,1136,1490,354,176.6,208.1,31.5
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,25,1713,635,162,422.8,271.7,189.3,1078,1551,473,151.1,233.5,82.4
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,26,1646,323,109,469.9,257.5,192.5,1323,1537,214,212.4,277.4,65
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,27,1401,776,118,504.5,309.4,268.1,625,1283,658,195.1,236.4,41.3
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,28,2054,555,302,597.7,324.3,287.1,1499,1752,253,273.4,310.6,37.2
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,29,1657,508,68,464.3,276.8,139.1,1149,1589,440,187.5,325.2,137.7
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,30,1633,1010,154,500.4,298.4,279,623,1479,856,202,221.4,19.4
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,31,1393,478,79,454,222.4,189.8,915,1314,399,231.6,264.2,32.6
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,32,1606,460,135,470.5,283.4,210.6,1146,1471,325,187.1,259.9,72.8
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,33,1557,569,144,584.2,326.8,261.7,988,1413,425,257.4,322.5,65.1
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,34,1537,668,152,508.6,279.4,215.3,869,1385,516,229.2,293.3,64.1
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,35,1485,463,197,470,307.3,235,1022,1288,266,162.7,235,72.3
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,36,1523,671,179,489.6,300,267.8,852,1344,492,189.6,221.8,32.2
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,37,1565,559,273,498.2,286,262.4,1006,1292,286,212.2,235.8,23.6
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,38,1403,619,147,535.6,272.2,249.4,784,1256,472,263.4,286.2,22.8
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,39,1404,528,123,457.7,267.8,257.2,876,1281,405,189.9,200.5,10.6
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,40,1308,473,64,486.7,259.7,122.1,835,1244,409,227,364.6,137.6
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,41,1529,425,68,470.7,284.4,161.5,1104,1461,357,186.3,309.2,122.9
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,42,1442,395,80,421,288.5,136,1047,1362,315,132.5,285,152.5
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,43,1230,437,95,537.8,295.4,263.6,793,1135,342,242.4,274.2,31.8
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,1,2032,583,194,392.4,175.7,163.1,1449,1838,389,216.7,229.3,12.6
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,2,1572,347,180,697,283.9,200,1225,1392,167,413.1,497,83.9
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,3,1900,570,171,551.4,182.9,162.1,1330,1729,399,368.5,389.3,20.8
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,4,1476,602,180,568.8,276.4,199.8,874,1296,422,292.4,369,76.6
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,5,2015,552,146,384.5,207.1,145.7,1463,1869,406,177.4,238.8,61.4
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,6,1985,698,174,431.1,213.6,160.7,1287,1811,524,217.5,270.4,52.9
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,7,2013,410,130,405.6,174,106.4,1603,1883,280,231.6,299.2,67.6
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,8,1977,661,194,414.4,227.2,139.2,1316,1783,467,187.2,275.2,88
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,9,1708,376,177,391.7,162,145.6,1332,1531,199,229.7,246.1,16.4
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,10,1869,572,69,420.8,165,89,1297,1800,503,255.8,331.8,76
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,11,1680,671,145,413.1,193.1,138.5,1009,1535,526,220,274.6,54.6
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,12,1945,557,130,446.9,177.3,173.9,1388,1815,427,269.6,273,3.4
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,13,1609,629,198,347.8,169.3,215.2,980,1411,431,178.5,132.6,-45.9
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,14,1787,745,167,434.9,214.1,121.3,1042,1620,578,220.8,313.6,92.8
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,15,1991,646,171,394.5,193.4,143.5,1345,1820,475,201.1,251,49.9
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,16,1609,388,180,482.5,186.3,156.1,1221,1429,208,296.2,326.4,30.2
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,17,1572,436,175,377.9,173.1,244.8,1136,1397,261,204.8,133.1,-71.7
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,18,1423,406,216,434,192.6,115,1017,1207,190,241.4,319,77.6
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,19,1671,279,221,421.4,198.8,175.6,1392,1450,58,222.6,245.8,23.2
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,20,1645,452,84,360.9,132.7,67.1,1193,1561,368,228.2,293.8,65.6
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,21,1264,628,100,456.1,184.2,157.3,636,1164,528,271.9,298.8,26.9
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301102,22,1434,487,173,353.3,179.6,119,947,1261,314,173.7,234.3,60.6
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301102,23,1675,440,106,277.4,175.2,91,1235,1569,334,102.2,186.4,84.2
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301102,24,1745,448,58,370.9,168.3,63,1297,1687,390,202.6,307.9,105.3
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301102,25,1562,477,183,393.7,172.4,128,1085,1379,294,221.3,265.7,44.4
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301102,26,1792,550,127,344.8,150,81,1242,1665,423,194.8,263.8,69
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301102,27,1924,591,76,413,187.7,58.3,1333,1848,515,225.3,354.7,129.4
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301102,28,1871,682,86,368.8,171.7,92.6,1189,1785,596,197.1,276.2,79.1
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301102,29,1690,574,52,326,85.3,50,1116,1638,522,240.7,276,35.3
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301102,30,1369,419,132,284.9,125.3,83,950,1237,287,159.6,201.9,42.3
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301102,31,1966,1191,124,381.7,194.5,89.9,775,1842,1067,187.2,291.8,104.6
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301102,32,1755,379,102,387.5,183.5,103,1376,1653,277,204,284.5,80.5
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301102,33,2164,864,155,491.1,208.3,168.3,1300,2009,709,282.8,322.8,40
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301102,34,1856,1105,170,356,180.1,154.6,751,1686,935,175.9,201.4,25.5
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301102,35,1363,605,314,371.2,205.7,191.3,758,1049,291,165.5,179.9,14.4
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,1,1541,408,169,458.4,183.4,124.7,1133,1372,239,275,333.7,58.7
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,2,1764,516,127,409.3,177.8,163.4,1248,1637,389,231.5,245.9,14.4
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,3,1527,1175,155,640.5,292.7,169.2,352,1372,1020,347.8,471.3,123.5
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,4,1731,949,103,419.1,160.4,114.3,782,1628,846,258.7,304.8,46.1
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,5,1646,821,169,486.4,186.3,176.8,825,1477,652,300.1,309.6,9.5
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,6,1758,268,144,509.9,196.8,136.9,1490,1614,124,313.1,373,59.9
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,7,1617,429,87,549.6,176,165,1188,1530,342,373.6,384.6,11
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,8,1997,838,129,817.1,222.3,171.7,1159,1868,709,594.8,645.4,50.6
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,9,1903,548,165,504,231.6,173.7,1355,1738,383,272.4,330.3,57.9
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,10,1804,512,188,409.5,251.2,173.6,1292,1616,324,158.3,235.9,77.6
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,11,1886,1085,293,616.1,239.5,164,801,1593,792,376.6,452.1,75.5
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,12,2079,538,136,424.1,206,174.2,1541,1943,402,218.1,249.9,31.8
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,13,1656,715,106,625.5,228.9,137,941,1550,609,396.6,488.5,91.9
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,14,1942,818,256,587,257.4,214,1124,1686,562,329.6,373,43.4
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,15,1939,630,133,707.2,270.1,179.4,1309,1806,497,437.1,527.8,90.7
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,16,2359,818,206,692.3,367,134.9,1541,2153,612,325.3,557.4,232.1
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,17,2060,725,170,643.7,266.2,158.8,1335,1890,555,377.5,484.9,107.4
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,18,1611,536,225,748,241,187,1075,1386,311,507,561,54
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,19,1796,606,184,669.8,428.7,199,1190,1612,422,241.1,470.8,229.7
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,20,2441,788,153,662.8,357,235,1653,2288,635,305.8,427.8,122
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,21,2137,530,138,779.5,321.2,229.5,1607,1999,392,458.3,550,91.7
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,22,2190,652,232,507.2,252.5,205.3,1538,1958,420,254.7,301.9,47.2
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,23,2051,663,173,696.1,382.9,182.9,1388,1878,490,313.2,513.2,200
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,24,1640,611,180,791,346.9,211.5,1029,1460,431,444.1,579.5,135.4
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,25,2123,962,130,720.8,313.1,238.4,1161,1993,832,407.7,482.4,74.7
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,26,2448,734,141,728.9,382.4,218.9,1714,2307,593,346.5,510,163.5
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,27,2284,1601,116,836.6,342.7,201.8,683,2168,1485,493.9,634.8,140.9
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,28,2032,890,170,860.9,222.3,181,1142,1862,720,638.6,679.9,41.3
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,29,2195,1046,400,851.6,343.6,212.2,1149,1795,646,508,639.4,131.4
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,30,1866,778,161,589.9,285.8,164,1088,1705,617,304.1,425.9,121.8
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,31,1837,587,104,662.2,263.3,109.9,1250,1733,483,398.9,552.3,153.4
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301501,32,1907,883,59,485.3,205.7,80.8,1024,1848,824,279.6,404.5,124.9
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301901,1,1731,336,68,422,208.9,156,1395,1663,268,213.1,266,52.9
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301901,2,1911,731,63,456.3,126.7,147,1180,1848,668,329.6,309.3,-20.3
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301901,3,1741,702,60,488.5,190.5,131.9,1039,1681,642,298,356.6,58.6
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301901,4,1939,313,111,522.6,298.1,205.4,1626,1828,202,224.5,317.2,92.7
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301901,5,1278,367,82,555.9,230.7,203.5,911,1196,285,325.2,352.4,27.2
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301901,6,1798,394,84,554.1,181.4,132.3,1404,1714,310,372.7,421.8,49.1
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301901,7,2081,549,129,361.2,140.6,125.8,1532,1952,420,220.6,235.4,14.8
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301901,8,1753,729,142,522.8,201.7,151.6,1024,1611,587,321.1,371.2,50.1
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301901,9,1775,645,71,510.4,219.5,117.7,1130,1704,574,290.9,392.7,101.8
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301901,10,2107,706,188,545,245.6,160.3,1401,1919,518,299.4,384.7,85.3
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301901,11,1678,445,106,444.2,187.5,127,1233,1572,339,256.7,317.2,60.5
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301901,12,1578,305,94,433,121.5,102.2,1273,1484,211,311.5,330.8,19.3
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301901,13,1789,482,146,569.6,212.3,154.8,1307,1643,336,357.3,414.8,57.5
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301901,14,1831,473,131,309.6,185.4,165.8,1358,1700,342,124.2,143.8,19.6
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301901,15,1919,1197,152,483.6,192.6,174,722,1767,1045,291,309.6,18.6
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301901,16,1985,572,155,627.4,314.5,135.7,1413,1830,417,312.9,491.7,178.8
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301901,17,2062,384,171,599,166.8,131.4,1678,1891,213,432.2,467.6,35.4
